source,question_tr,answer_tr,question_en
HF_Diabetes_TR_Translated,"Diyabetli bireylerin hasta olduklarında tüketebilecekleri kalorisiz, kafeinsiz sıvı örnekleri nelerdir?","Kalorisiz, kafeinsiz sıvıların örnekleri arasında su, şekersiz çay ve berrak et suyu bulunur.","What are some examples of calorie-free, caffeine-free liquids that individuals with diabetes can consume when sick?"
HF_Diabetes_TR_Translated,Diyabetli bireylerin hasta olduklarında bol miktarda sıvı içmeleri neden önemlidir?,"Susuz kalmamak, özellikle hastayken kan şekeri düzeylerini düzenlemek ve dehidrasyonu önlemek için çok önemlidir.  Yüksek kan şekeri idrara çıkmayı artırarak sıvı kaybına neden olabilir.",Why is it important for individuals with diabetes to drink plenty of fluids when they are sick?
HF_Diabetes_TR_Translated,Hasta olan diyabetli bireylere ne tür jelatin önerilir?,"Şekersiz seçenekler düşük kan şekerinin önlenmesi için gerekli karbonhidratları sağlayamayabileceğinden, diyabetli bireyler hasta olduklarında şekersiz olmayan jelatini tercih etmelidir.",What type of gelatin is recommended for individuals with diabetes who are sick?
HF_Diabetes_TR_Translated,Diyabetli birey hastalandığında hangi durumlarda hemen doktoruna başvurmalıdır?,"Diyabetli bireyler, ilaca rağmen kan şekerinin sürekli yüksek çıkması, idrarında veya kanında keton bulunması, tekrarlayan kusma, uzun süren ishal, nefes almada zorluk, yüksek ateş veya bilişsel bozukluk gibi durumlarda derhal doktorlarına başvurmalıdır.",In what situations should an individual with diabetes contact their doctor immediately when sick?
HF_Diabetes_TR_Translated,Diyabetli bireylerin tıbbi kimlik etiketi veya kartı takması neden önemlidir?,"Tıbbi kimlik takmak, acil durumlarda diğerlerini diyabetiniz konusunda uyarır ve özellikle etkili bir şekilde iletişim kuramıyorsanız, onların uygun yardımı sağlamalarına olanak tanır.",Why is it important for individuals with diabetes to wear a medical identification tag or card?
HF_Diabetes_TR_Translated,Zaman dilimleri arasında seyahat ederken diyabeti yönetmek için bazı ipuçları nelerdir?,"Zaman dilimleri arasında seyahat ederken, özellikle insülin için ilaç programlarını ayarlama konusunda tavsiye almak üzere sağlık ekibinize danışın.  Gerekli tüm diyabet malzemelerini el bagajınıza koyun ve yemek zamanlamasına ve kan şekeri takibine dikkat edin.",What are some tips for managing diabetes while traveling across time zones?
HF_Diabetes_TR_Translated,Seyahat ederken neden iki kat fazla diyabet malzemesi taşınması öneriliyor?,"Ekstra malzeme getirmek, beklenmeyen gecikmeler veya varış noktanızda malzeme temininde zorluk yaşanması durumunda yeterli ilaç ve test ekipmanına sahip olmanızı sağlar.",Why is it recommended to carry twice the amount of diabetes supplies when traveling?
HF_Diabetes_TR_Translated,Röntgen makineleri ve insülin pompalarıyla ilişkili potansiyel risk nedir?,"X-ışını makineleri insülin pompalarına zarar verebilir, bu nedenle cihazınızı korumak için havaalanı güvenlik personelinden manuel kontrol talep etmeniz önemlidir.",What is the potential risk associated with X-ray machines and insulin pumps?
HF_Diabetes_TR_Translated,Özellikle diyabet yönetimi için bir afet kitine sahip olmak neden önemlidir?,"Diyabete özel afet kiti, doğal afetler veya elektrik kesintileri gibi düzenli sağlık hizmetlerine veya malzemelere erişimin kesintiye uğrayabileceği acil durumlarda durumunuzu yönetmek için gerekli malzemelere sahip olmanızı sağlar.",Why is it important to have a disaster kit specifically for diabetes management?
HF_Diabetes_TR_Translated,Diyabet felaket çantasına dahil edilmesi gereken bazı temel öğeler nelerdir?,"Bir diyabet felaket kiti, kan şekeri ölçüm cihazı, lansetler, test şeritleri, diyabet ilaçları, insülin (varsa), glukagon kiti, glikoz tabletleri veya diğer hızlı etkili karbonhidratlar, antibiyotik kremi, tıbbi bilgilerinizin bir kopyası ve acil durum iletişim numaralarını içermelidir.",What are some essential items to include in a diabetes disaster kit?
HF_Diabetes_TR_Translated,Diyabetli kadınların hamile kalmadan önce optimal kan şekeri kontrolünü sağlaması neden önemlidir?,Hamilelik sırasında yüksek kan şekeri seviyeleri hem anne hem de gelişmekte olan bebek için risk oluşturabilir. Gebelik öncesinde iyi kontrolün sağlanması bu risklerin en aza indirilmesine yardımcı olur.,Why is it important for women with diabetes to achieve optimal blood glucose control before becoming pregnant?
HF_Diabetes_TR_Translated,Hamilelik planlayan diyabetli kadınlara bazı yaşam tarzı önerileri nelerdir?,"Diyabetli kadınlar hamilelik planlarken sigara ve alkolden uzak durmalı, sağlıklı bir beslenme planı izlemeli ve düzenli fiziksel aktiviteye devam etmelidir.",What are some lifestyle recommendations for women with diabetes who are planning a pregnancy?
HF_Diabetes_TR_Translated,Diyabetli kadınlara hamilelik öncesi ne tür tıbbi değerlendirmeler önerilir?,"Diyabetli kadınların hamilelikten önce gözlerini, kalp ve kan damarlarını, tansiyonlarını ve böbreklerini kontrol ettirmeleri gerekmektedir.  Bir doktor ayrıca herhangi bir sinir hasarını da değerlendirmelidir.",What types of medical evaluations are recommended for women with diabetes before pregnancy?
HF_Diabetes_TR_Translated,"""Her Ziyarette Sağlık Ekibinizle Görüşülmesi Gerekenler"" tablosunu kullanmanın potansiyel faydaları nelerdir?","Bu tablo, diyabet yönetiminizin temel yönlerini sağlık hizmeti sağlayıcılarınızla tartışmak, kapsamlı bakım sağlamak ve olası endişelerinizi veya sorularınızı ele almak için yararlı bir hatırlatma görevi görür.","What are the potential benefits of using the ""Things to Discuss with Your Health Care Team at Each Visit"" chart?"
HF_Diabetes_TR_Translated,Çoğu diyabetli birey için hedef kan basıncı nedir?,"Diyabetli çoğu kişi için hedef kan basıncı, doktorları tarafından aksi belirtilmediği sürece 140/80 mmHg'nin altındadır.",What is the target blood pressure for most individuals with diabetes?
HF_Diabetes_TR_Translated,Diyabetli bireylerin karşılaştığı yaygın ayak sorunları nelerdir ve bunları derhal bildirmek neden önemlidir?,"Diyabetli bireyler ayaklarında uyuşukluk, karıncalanma veya yavaş iyileşen yaralar yaşayabilir. Bu sorunların bir sağlık uzmanına bildirilmesi, erken müdahale ve ayak ülseri veya amputasyon gibi komplikasyonların önlenmesi açısından çok önemlidir.","What are some common foot problems experienced by individuals with diabetes, and why is it crucial to report them promptly?"
HF_Diabetes_TR_Translated,Diyabetli bireyler stres ve duygusal zorluklarla nasıl başa çıkabilir?,"Bireyler rahatlama teknikleri, farkındalık uygulamaları, düzenli egzersiz, hobilerle meşgul olma ve sevdiklerinden veya ruh sağlığı uzmanlarından destek alma yoluyla stresi yönetebilirler.",How can individuals with diabetes cope with stress and emotional challenges?
HF_Diabetes_TR_Translated,Diyabetli bireylere sigarayı bırakmanın faydaları nelerdir?,"Sigarayı bırakmak genel sağlığı önemli ölçüde iyileştirir ve kalp hastalığı, felç, sinir hasarı ve diğer sağlık sorunları gibi diyabetle ilişkili komplikasyon riskini azaltır.",What are the benefits of quitting smoking for individuals with diabetes?
HF_Diabetes_TR_Translated,"""Yılda En Az Bir veya İki Kez Yapılması Gereken Test, Muayene ve Aşılar"" tablosunun amacı nedir?","Bu tablo, diyabetli bireylerin önerilen testleri, muayeneleri ve aşıları takip etmeleri, proaktif sağlık hizmetlerini teşvik etmeleri ve potansiyel sorunların erken tespit edilmesi için uygun bir kontrol listesi sağlar.","What is the purpose of the ""Tests, Exams, and Vaccines to Get at Least Once or Twice a Year"" chart?"
HF_Diabetes_TR_Translated,Kan lipitleri nedir ve diyabetli bireylerde neden izlenir?,"Kan lipitleri, kanda dolaşan yağlar olan kolesterol ve trigliseritleri kapsar. Diyabetli bireyler, kardiyovasküler hastalığa katkıda bulunabilecek dislipidemi (anormal kan lipit seviyeleri) riski altındadır.  Kan lipitlerinin izlenmesi bu risklerin yönetilmesine ve kalp sağlığının korunmasına yardımcı olur.","What are blood lipids, and why are they monitored in individuals with diabetes?"
HF_Diabetes_TR_Translated,Böbrek fonksiyon testleri nedir ve diyabetli bireyler için neden önemlidir?,"Böbrek fonksiyon testleri, böbreklerin kandaki atık ürünleri filtrelemedeki etkinliğini değerlendirir. Diyabet böbreklere giderek zarar verebilir ve potansiyel olarak diyabetik böbrek hastalığına yol açabilir. Böbrek fonksiyonunun düzenli olarak izlenmesi, potansiyel böbrek sorunlarının erken tespit edilmesini ve yönetilmesini sağlar.","What are kidney function tests, and why are they important for individuals with diabetes?"
